Chip #,orifice_size,aspect_ratio,expansion_ratio,normalized_water_inlet,normalized_oil_inlet,normalized_orifice_length
1,75,1,2,2,2,1
2,75,1.5,3,2.5,2.5,1.5
3,75,2,4,3,3,2
4,75,2.5,5,3.5,3.5,2.5
5,75,3,6,4,4,3
6,100,1,3,3.5,4,2
7,100,1.5,4,4,2,2.5
8,100,2,5,2,2.5,3
9,100,2.5,6,2.5,3,1
10,100,3,2,3,3.5,1.5
11,125,1,4,2.5,3.5,3
12,125,1.5,5,3,4,1
13,125,2,6,3.5,2,1.5
14,125,2.5,2,4,2.5,2
15,125,3,3,2,3,2.5
16,150,1,5,4,3,1.5
17,150,1.5,6,2,3.5,2
18,150,2,2,2.5,4,2.5
19,150,2.5,3,3,2,3
20,150,3,4,3.5,2.5,1
21,175,1,6,3,2.5,2.5
22,175,1.5,2,3.5,3,3
23,175,2,3,4,3.5,1
24,175,2.5,4,2,4,1.5
25,175,3,5,2.5,2,2
